name	smiles
&beta;-D-GlcA-(1&rarr;3)-&alpha;-D-GalNAc-(1&rarr;6)-&alpha;-D-GalNAc-PP-Und	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)O[C@H](CO[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2NC(C)=O)[C@H](O)[C@@H]1O
(S)-3-amino-2-methylpropanoate	C[C@@H](CN)C(=O)O
dethiobiotin	C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)O
(R,R)-2,3-butanediol	C[C@@H](O)[C@@H](C)O
FMN	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
<i>aldehydo</i>-D-ribose 5-phosphate	O=C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
2-dehydropantoate	CC(C)(CO)C(=O)C(=O)O
2-iminobutanoate	CCC(=N)C(=O)O
5-aminolevulinate	NCC(=O)CCC(=O)O
3-dehydroshikimate	O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
&alpha;,&alpha;-trehalose 6-phosphate	O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
phosphate	O=P(O)(O)O
<i>N</i><sup>6</sup>-(3-methylbut-2-en-1-yl)-2-thioadenosine<sup>37</sup> in tRNA	CC(C)=CCNC1(\C2(\N=C/N(C(/N=C(/N=1)/S)=2)[C@@H]3(O[C@H](COP(=O)([O-])O[a tRNA])[C@@H](OP(=O)(O[a tRNA])[O-])[C@@H](O)3)))
UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)O)C(=O)O
(2<i>S</i>,3<i>S</i>)-2-methylcitrate	C[C@H](C(=O)O)[C@@](O)(CC(=O)O)C(=O)O
2-phospho-D-glycerate	O=C(O)[C@@H](CO)OP(=O)(O)O
(<i>S</i>)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline	NC(=O)NC1=NC(=O)N[C@@]1(O)C(=O)O
dUDP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
<i>N</i>-acetyl-<i>S</i>-hydroxy-L-cysteine	CC(=O)N[C@@H](CSO)C(=O)O
demethylmenaquinol-7	CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\Cc1cc(O)c2ccccc2c1O
D-mannonate	O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
glycolate	O=C(O)CO
D-alanyl-D-alanine	C[C@@H](N)C(=O)N[C@H](C)C(=O)O
3-methylglutaconyl-CoA	C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)CC(=O)O
(2<i>S</i>)-2-methylbutanoyl-CoA	CC[C@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
dUMP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1
ammonia	N
agmatine	N=C(N)NCCCCN
D-erythrose 4-phosphate	O=C[C@H](O)[C@H](O)COP(=O)(O)O
(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate	O=C(O)C1=N[C@H](C(=O)O)C[C@H](O)C1
L-2-amino-3-oxobutanoate	CC(=O)[C@H](N)C(=O)O
(<i>S</i>)-lactate	C[C@H](O)C(=O)O
